,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time
125,-145,1183,16178,1443,-248,-3331,-155,900,-1378,-2748,2022-10-15 13:29:25.226435
126,-143,1584,16295,984,-8,-3281,-89,835,-1380,-2538,2022-10-15 13:29:25.409698
127,-143,1546,16077,836,-327,-3131,-111,783,-1385,-2352,2022-10-15 13:29:25.591890
128,-145,335,16121,1232,-145,-2955,-185,805,-1420,-2166,2022-10-15 13:29:25.769661
129,-144,1547,16337,654,-258,-3050,-23,848,-1410,-1930,2022-10-15 13:29:25.948427
130,-146,962,16397,1199,-527,-3833,-121,1002,-1413,-1778,2022-10-15 13:29:26.127150
131,-146,1371,16945,961,-328,-3461,-73,1180,-1399,-1659,2022-10-15 13:29:26.308473
132,-145,690,16143,1363,-349,-3450,-186,1423,-1409,-1546,2022-10-15 13:29:26.486565
133,-145,1390,15850,1476,-140,-3751,-324,1743,-1478,-1502,2022-10-15 13:29:26.665350
134,-144,1682,16494,1090,-353,-3653,-119,1994,-1527,-1532,2022-10-15 13:29:26.844018
135,-147,1373,16197,1507,-499,-3490,-167,2292,-1590,-1555,2022-10-15 13:29:27.022332
136,-144,1730,16051,1551,-302,-3438,-197,2420,-1586,-1685,2022-10-15 13:29:27.200285
137,-145,1007,16174,1123,-132,-2855,-67,2581,-1642,-1710,2022-10-15 13:29:27.379952
138,-145,995,15724,1698,-227,-3241,-99,2656,-1619,-1816,2022-10-15 13:29:27.559270
139,-143,1651,16059,1334,-364,-2769,-129,2759,-1647,-1864,2022-10-15 13:29:27.737821
140,-145,1276,16073,1425,-303,-2667,-84,2835,-1642,-1970,2022-10-15 13:29:27.916100
141,-144,1059,15427,2111,-167,-2860,-82,2825,-1554,-2015,2022-10-15 13:29:28.095643
142,-145,1679,15666,470,13,-2880,-147,2784,-1493,-2041,2022-10-15 13:29:28.275386
143,-146,1219,16079,1212,-16,-2111,-193,2203,-780,-2152,2022-10-15 13:29:28.460500
144,-144,1605,15970,1073,-87,-1827,-186,2247,-797,-2246,2022-10-15 13:29:28.641184
145,-145,814,15685,859,-165,-584,13,2306,-875,-2265,2022-10-15 13:29:28.821611
146,-143,861,15992,1008,-169,-26,-86,2297,-856,-2338,2022-10-15 13:29:29.001964
147,-143,831,15778,893,-31,168,-69,2310,-893,-2355,2022-10-15 13:29:29.183691
148,-142,1048,16294,852,81,701,0,2462,-1001,-2348,2022-10-15 13:29:29.364501
149,-144,1395,15972,1658,-53,35,-10,2364,-853,-2310,2022-10-15 13:29:29.549267
150,-143,1088,16006,1221,43,94,-36,2373,-867,-2345,2022-10-15 13:29:29.730043
151,-144,1203,16098,894,-20,107,-41,2378,-901,-2347,2022-10-15 13:29:29.911975
152,-142,1224,16051,1019,-115,123,-39,2388,-892,-2334,2022-10-15 13:29:30.095747
153,-143,1342,15969,1333,-85,113,-36,2341,-847,-2295,2022-10-15 13:29:30.274149
154,-143,1192,15906,1294,-36,102,-33,2348,-858,-2254,2022-10-15 13:29:30.454245
155,-144,-26,15912,1215,-16,174,-41,2380,-877,-2308,2022-10-15 13:29:30.633586
156,-142,634,16296,1743,134,128,-83,2249,-839,-2278,2022-10-15 13:29:30.812414
157,-143,20,16339,-1238,68,-80,-76,2344,-802,-2318,2022-10-15 13:29:30.991291
158,-142,1432,17073,189,1642,-30,3,2295,-800,-2165,2022-10-15 13:29:31.171216
159,-145,2073,15547,394,1297,106,-239,2320,-767,-1980,2022-10-15 13:29:31.349976
160,-142,1200,16861,-4435,1803,139,-179,2327,-803,-1830,2022-10-15 13:29:31.530070
161,-141,716,16905,-4186,3421,354,59,2341,-571,-1485,2022-10-15 13:29:31.708482
162,-140,1893,14754,-7728,4249,-112,-97,2416,-280,-1059,2022-10-15 13:29:31.888955
163,-142,798,11347,-9121,3040,43,-119,2526,231,-680,2022-10-15 13:29:32.068246
164,-144,155,10028,-12346,2189,-14,-6,2618,532,-442,2022-10-15 13:29:32.247089
165,-147,915,9543,-14061,2177,-33,-220,2762,877,-268,2022-10-15 13:29:32.426423
166,-143,251,6247,-14408,1863,61,-45,2853,1214,-118,2022-10-15 13:29:32.604913
167,-144,639,5370,-13652,-54,207,-129,2931,1336,-53,2022-10-15 13:29:32.783605
168,-142,566,6116,-14803,-210,82,-56,2939,1286,-26,2022-10-15 13:29:32.962205
169,-144,758,6132,-15139,-257,101,-49,2921,1249,-78,2022-10-15 13:29:33.145231
170,-142,75,5640,-14247,-811,119,-81,2932,1228,-70,2022-10-15 13:29:33.324793
171,-142,732,7039,-14174,-320,226,-121,2890,1036,-120,2022-10-15 13:29:33.511904
172,-144,261,7874,-14389,-417,163,57,2846,1001,-130,2022-10-15 13:29:33.691871
173,-144,122,6672,-12210,-1572,56,231,2844,834,-181,2022-10-15 13:29:33.870306
174,-145,777,11666,-10979,-3871,103,153,2817,258,-519,2022-10-15 13:29:34.051271
175,-141,384,11846,-9115,-4473,367,130,2737,-372,-872,2022-10-15 13:29:34.230482
176,-143,-33,16818,-5246,-4871,439,104,2584,-711,-1413,2022-10-15 13:29:34.410997
177,-143,1492,14736,-1269,-4586,190,173,2627,-1137,-2083,2022-10-15 13:29:34.591034
178,-141,1358,16405,3716,-4898,473,195,2796,-1419,-2532,2022-10-15 13:29:34.770766
179,-144,1050,14048,7284,-4774,240,153,3132,-1477,-3043,2022-10-15 13:29:34.954092
180,-143,2101,11814,12701,-5385,213,360,3572,-1555,-3390,2022-10-15 13:29:35.132609
181,-144,1408,9014,14786,-5267,261,224,3823,-1178,-3742,2022-10-15 13:29:35.310660
182,-140,1175,3656,16893,-3919,-161,510,3163,366,-3944,2022-10-15 13:29:35.489277
183,-140,1069,162,18796,-5663,116,344,3571,1043,-3926,2022-10-15 13:29:35.668934
184,-139,875,-4874,16077,-6184,257,456,3611,2268,-3700,2022-10-15 13:29:35.848091
185,-142,1035,-9641,11610,-5115,348,400,4345,2561,-3309,2022-10-15 13:29:36.026795
186,-140,-65,-11704,11222,-4489,364,364,4652,2936,-2918,2022-10-15 13:29:36.205075
187,-140,897,-14288,8867,-3867,159,490,4855,3261,-2501,2022-10-15 13:29:36.383950
188,-141,562,-15628,4677,-3697,217,496,5304,3174,-2149,2022-10-15 13:29:36.564012
189,-141,331,-15698,3123,-3943,-585,683,5738,2942,-1765,2022-10-15 13:29:36.743212
190,-139,670,-17368,1514,-4048,-270,414,6449,2493,-1442,2022-10-15 13:29:36.921370
191,-140,-324,-15143,-3306,-3637,-66,463,7206,1762,-972,2022-10-15 13:29:37.100521
192,-142,-279,-13665,-7286,-2260,6,264,5298,3857,-757,2022-10-15 13:29:37.279652
193,-143,521,-13591,-9263,-1539,178,-1,3701,5517,-659,2022-10-15 13:29:37.462333
194,-147,-29,-14880,-7918,122,47,-178,3860,5412,-666,2022-10-15 13:29:37.640811
195,-146,-305,-14096,-7913,190,267,-43,3809,5391,-688,2022-10-15 13:29:37.819817
196,-145,-568,-14103,-7978,167,340,24,3823,5438,-727,2022-10-15 13:29:38.005015
197,-140,28,-14661,-7943,-14,163,-87,3777,5423,-665,2022-10-15 13:29:38.185191
198,-143,27,-14821,-7437,104,113,-134,3810,5483,-645,2022-10-15 13:29:38.364955
199,-143,-205,-14500,-7669,121,161,-108,3781,5458,-710,2022-10-15 13:29:38.545566
200,-142,-258,-14528,-7582,36,192,-94,3749,5452,-693,2022-10-15 13:29:38.726278
201,-144,-523,-14959,-6055,965,576,39,3715,5607,-722,2022-10-15 13:29:38.907837
202,-143,49,-14923,-6687,-109,538,-86,3698,5551,-839,2022-10-15 13:29:39.087138
203,-144,-25,-15927,-5887,119,-22,-276,3713,5581,-852,2022-10-15 13:29:39.267381
204,-142,-285,-13193,-7650,403,42,-136,3657,5569,-835,2022-10-15 13:29:39.447508
205,-144,-188,-15370,-4411,2469,-219,-408,3581,5715,-1060,2022-10-15 13:29:39.631356
206,-143,-292,-15977,-2142,2860,238,-247,3618,5670,-1381,2022-10-15 13:29:39.810439
207,-144,-84,-16237,238,3328,113,-280,3616,5514,-1787,2022-10-15 13:29:40.005093
208,-144,480,-16390,5044,3915,-21,-259,3593,5225,-2236,2022-10-15 13:29:40.183792
209,-144,994,-14837,8968,4134,-129,-250,3512,4819,-2591,2022-10-15 13:29:40.363333
210,-142,576,-12624,12154,4410,94,-376,3421,4230,-3079,2022-10-15 13:29:40.541847
211,-144,912,-9561,14573,4344,-137,-85,3406,3517,-3439,2022-10-15 13:29:40.719887
212,-143,24,-5769,16209,3833,-108,-103,3297,2724,-3783,2022-10-15 13:29:40.899777
213,-140,1366,-3040,17699,3969,-62,-258,3221,1935,-3941,2022-10-15 13:29:41.079129
214,-144,831,1023,17283,4449,11,-349,3177,1069,-4051,2022-10-15 13:29:41.259491
215,-143,1835,4476,16869,4291,-64,-266,3160,348,-3898,2022-10-15 13:29:41.437686
216,-141,1381,8254,15159,3844,93,-398,3119,-362,-3790,2022-10-15 13:29:41.620848
217,-142,1264,10369,13076,3486,-40,-310,3153,-877,-3562,2022-10-15 13:29:41.801020
218,-143,1013,13350,9918,3239,-76,-125,3137,-1301,-3316,2022-10-15 13:29:41.980540
219,-144,1567,14567,8204,3123,-250,-247,3125,-1535,-2977,2022-10-15 13:29:42.159035
220,-141,884,16059,4828,2772,-244,-256,3135,-1665,-2678,2022-10-15 13:29:42.339497
221,-144,1540,15912,3058,2704,40,-163,3167,-1718,-2419,2022-10-15 13:29:42.519166
222,-144,1496,15610,-41,1920,-103,-151,3165,-1725,-2098,2022-10-15 13:29:42.703741
